iter	Passed	Remaining
0	303	302847
1	319	159244
2	332	110593
3	342	85340
4	353	70327
5	363	60271
6	376	53420
7	388	48151
8	399	43965
9	406	40235
10	414	37234
11	433	35674
12	446	33914
13	456	32169
14	471	30987
15	489	30108
16	497	28752
17	509	27811
18	519	26832
19	537	26355
20	550	25669
21	568	25269
22	586	24920
23	604	24593
24	614	23979
25	622	23309
26	640	23086
27	658	22871
28	677	22675
29	695	22492
30	714	22326
31	733	22188
32	751	22019
33	769	21864
34	782	21583
35	801	21454
36	819	21334
37	838	21216
38	856	21107
39	874	20998
40	892	20883
41	910	20778
42	930	20698
43	945	20536
44	963	20443
45	973	20191
46	991	20107
47	1009	20024
48	1028	19965
49	1046	19892
50	1065	19821
51	1083	19755
52	1101	19678
53	1119	19612
54	1138	19557
55	1156	19503
56	1176	19455
57	1195	19418
58	1205	19228
59	1215	19039
60	1232	18979
61	1250	18922
62	1268	18869
63	1287	18823
64	1308	18822
65	1327	18785
66	1345	18742
67	1363	18694
68	1382	18655
69	1400	18608
70	1418	18558
71	1430	18440
72	1448	18396
73	1494	18697
74	1512	18658
75	1525	18545
76	1537	18434
77	1556	18393
78	1574	18353
79	1593	18320
80	1611	18284
81	1616	18095
82	1634	18056
83	1653	18028
84	1668	17960
85	1686	17919
86	1705	17893
87	1723	17860
88	1741	17826
89	1759	17791
90	1777	17752
91	1790	17668
92	1808	17639
93	1816	17504
94	1833	17471
95	1852	17444
96	1870	17412
97	1888	17379
98	1906	17347
99	1924	17319
100	1942	17289
101	1960	17258
102	1978	17229
103	1996	17202
104	2014	17172
105	2034	17155
106	2052	17128
107	2062	17037
108	2081	17013
109	2099	16985
110	2118	16964
111	2136	16937
112	2154	16911
113	2173	16889
114	2191	16862
115	2198	16756
116	2216	16727
117	2235	16706
118	2253	16681
119	2271	16659
120	2289	16633
121	2310	16627
122	2329	16609
123	2347	16584
124	2365	16558
125	2384	16540
126	2403	16520
127	2421	16493
128	2438	16465
129	2456	16441
130	2475	16418
131	2493	16396
132	2511	16371
133	2566	16584
134	2578	16520
135	2587	16440
136	2592	16332
137	2611	16311
138	2630	16291
139	2640	16217
140	2659	16203
141	2677	16177
142	2695	16152
143	2708	16098
144	2718	16031
145	2737	16013
146	2757	16003
147	2775	15978
148	2794	15960
149	2807	15911
150	2827	15895
151	2847	15883
152	2866	15866
153	2886	15855
154	2905	15839
155	2937	15890
156	2960	15894
157	2967	15816
158	2988	15804
159	3008	15796
160	3030	15791
161	3051	15783
162	3071	15769
163	3090	15754
164	3110	15738
165	3123	15693
166	3145	15688
167	3152	15614
168	3163	15554
169	3174	15499
170	3192	15479
171	3211	15461
172	3231	15445
173	3250	15430
174	3269	15412
175	3287	15393
176	3308	15382
177	3334	15397
178	3354	15384
179	3364	15327
180	3383	15311
181	3404	15303
182	3425	15291
183	3444	15276
184	3481	15336
185	3501	15325
186	3522	15312
187	3532	15257
188	3552	15243
189	3573	15233
190	3592	15214
191	3610	15195
192	3629	15176
193	3648	15157
194	3667	15138
195	3686	15123
196	3705	15105
197	3724	15087
198	3743	15070
199	3764	15058
200	3783	15041
201	3800	15012
202	3819	14993
203	3838	14977
204	3857	14960
205	3876	14941
206	3894	14920
207	3913	14900
208	3932	14883
209	3951	14865
210	3970	14846
211	3989	14827
212	4007	14807
213	4025	14785
214	4044	14766
215	4056	14724
216	4071	14692
217	4086	14660
218	4104	14638
219	4123	14618
220	4140	14596
221	4158	14574
222	4176	14553
223	4195	14533
224	4202	14475
225	4220	14453
226	4230	14405
227	4247	14382
228	4265	14361
229	4283	14339
230	4301	14319
231	4319	14297
232	4337	14278
233	4355	14258
234	4374	14239
235	4389	14208
236	4406	14187
237	4424	14166
238	4443	14147
239	4461	14128
240	4479	14107
241	4497	14086
242	4515	14067
243	4533	14047
244	4552	14027
245	4570	14007
246	4587	13986
247	4606	13966
248	4624	13947
249	4642	13927
250	4660	13907
251	4678	13887
252	4696	13868
253	4714	13847
254	4732	13827
255	4750	13806
256	4770	13790
257	4788	13770
258	4806	13750
259	4824	13730
260	4846	13721
261	4866	13707
262	4886	13693
263	4904	13674
264	4924	13657
265	4943	13639
266	4967	13637
267	4997	13649
268	5028	13664
269	5058	13676
270	5079	13662
271	5096	13640
272	5114	13619
273	5132	13598
274	5150	13577
275	5168	13558
276	5186	13538
277	5204	13517
278	5223	13497
279	5240	13476
280	5258	13455
281	5276	13434
282	5295	13415
283	5317	13405
284	5335	13384
285	5352	13363
286	5371	13343
287	5389	13323
288	5407	13304
289	5425	13284
290	5444	13263
291	5462	13244
292	5480	13223
293	5497	13202
294	5515	13181
295	5533	13161
296	5551	13141
297	5570	13121
298	5587	13100
299	5600	13067
300	5617	13045
301	5635	13024
302	5653	13004
303	5670	12983
304	5688	12962
305	5707	12943
306	5725	12923
307	5742	12903
308	5760	12882
309	5778	12862
310	5796	12841
311	5814	12821
312	5832	12801
313	5850	12781
314	5868	12760
315	5885	12740
316	5904	12722
317	5922	12701
318	5940	12681
319	5958	12661
320	5976	12642
321	5994	12621
322	6012	12601
323	6029	12581
324	6048	12561
325	6066	12542
326	6084	12523
327	6102	12502
328	6121	12484
329	6148	12482
330	6166	12463
331	6186	12447
332	6205	12430
333	6225	12412
334	6244	12395
335	6263	12378
336	6282	12360
337	6306	12351
338	6327	12337
339	6346	12319
340	6380	12330
341	6400	12313
342	6419	12296
343	6439	12279
344	6458	12261
345	6477	12244
346	6496	12225
347	6515	12207
348	6534	12188
349	6553	12170
350	6572	12152
351	6586	12124
352	6604	12105
353	6624	12087
354	6643	12070
355	6661	12051
356	6680	12033
357	6696	12009
358	6715	11990
359	6733	11971
360	6752	11952
361	6771	11934
362	6789	11915
363	6808	11895
364	6826	11876
365	6845	11858
366	6863	11838
367	6882	11820
368	6901	11801
369	6919	11782
370	6938	11763
371	6956	11744
372	6974	11724
373	6992	11704
374	7010	11683
375	7028	11663
376	7046	11643
377	7063	11623
378	7081	11603
379	7099	11582
380	7116	11562
381	7134	11542
382	7152	11522
383	7171	11503
384	7189	11484
385	7207	11464
386	7224	11443
387	7242	11424
388	7260	11404
389	7279	11385
390	7300	11370
391	7318	11350
392	7335	11330
393	7353	11310
394	7371	11291
395	7390	11272
396	7409	11254
397	7428	11235
398	7447	11217
399	7466	11199
400	7484	11180
401	7503	11162
402	7521	11142
403	7539	11123
404	7558	11104
405	7576	11085
406	7594	11065
407	7612	11045
408	7629	11025
409	7647	11004
410	7664	10984
411	7682	10964
412	7700	10944
413	7719	10926
414	7738	10908
